"bin","initial","conv","fn1","fn0","lrt","beta","sigma2","xi","tau_k"
79,1,0,7664.46344851231,7664.63736755657,0.347838088524441,0.000253025194542578,1.06770786773728,0.00241793675119094,0.0025816500929377
80,1,0,7664.62909578119,7664.63736755657,0.0165435507697111,0.000496970214449742,1.06894130212512,0.0004949620550106,0.000529085383585558
81,1,0,7664.63738318133,7664.63736755657,-3.12495249090716e-05,0.000546654176655629,1.06925560185788,7.75450625124842e-07,8.29154924878933e-07
82,1,0,7664.6373640305,7664.63736755657,7.05214006302413e-06,0.000544442799070451,1.06924020618205,2.49026373044786e-05,2.66269010459176e-05
83,1,0,7664.63380019117,7664.63736755657,0.00713473079667892,0.000476880530059349,1.06905224559594,0.000319741890755443,0.000341820786323199
84,1,0,7664.63737901387,7664.63736755657,-2.29146044148365e-05,0.000546760430204881,1.06925605288068,6.59046383104251e-08,7.04689334263339e-08
85,1,0,7664.63737947646,7664.63736755657,-2.38397842622362e-05,0.000546770996549414,1.06925605465501,6.37067065477452e-08,6.81187816983064e-08
86,1,0,7664.63737944299,7664.63736755657,-2.37728399952175e-05,0.000546746598101131,1.06925594940548,2.2591372176218e-07,2.41559591046545e-07
87,1,0,7664.63222103257,7664.63736755657,0.0102930480134091,0.000588713480728099,1.0690018827102,0.000393119232063358,0.000420245199205317
88,1,0,7664.63447655337,7664.63736755657,0.00578200639938586,0.000604937458446182,1.06907576738922,0.000278117403796051,0.000297328576887562
89,1,0,7664.63737695368,7664.63736755657,-1.8794218703988e-05,0.000546768716049685,1.06925606916389,3.6837785592931e-08,3.93890258197996e-08
90,1,0,7664.63738111168,7664.63736755657,-2.71102089755004e-05,0.000546769477648205,1.06925606010876,5.76803625947082e-08,6.16750772536625e-08
91,1,0,7664.6373779222,7664.63736755657,-2.07312532438664e-05,0.000546763562367269,1.0692560710429,3.57423226612742e-08,3.82176954987417e-08
92,1,0,7664.63738112356,7664.63736755657,-2.71339849859942e-05,0.000546770283284934,1.06925606065204,5.74716053735003e-08,6.14518623610174e-08
93,1,0,7664.63738129453,7664.63736755657,-2.74759240710409e-05,0.000546770043128639,1.06925606081888,5.69030621751698e-08,6.08439441099538e-08
94,1,0,7664.63737714614,7664.63736755657,-1.91791314136935e-05,0.000546764979770574,1.06925606940704,3.65425492255823e-08,3.90733425510592e-08
95,1,0,7664.63738079767,7664.63736755657,-2.6482188332011e-05,0.000546763160841614,1.06925605872705,5.85618780327155e-08,6.26176428969155e-08
96,1,0,7664.63738128706,7664.63736755657,-2.7460968340165e-05,0.000546771888945086,1.06925606039013,5.68405173009114e-08,6.07770675997096e-08
97,1,0,7664.63737832618,7664.63736755657,-2.15392119571334e-05,0.000546770493010841,1.06925607130483,3.52359586171437e-08,3.76762626796267e-08
98,1,0,7664.6373801347,7664.63736755657,-2.51562651101267e-05,0.000546768287155573,1.06925607431333,3.3777985547733e-08,3.61173162249815e-08
99,1,0,7664.63737907643,7664.63736755657,-2.30397254199488e-05,0.000546783608004813,1.06925605205801,6.49374114705585e-08,6.94347202198762e-08
100,1,0,7664.63738005519,7664.63736755657,-2.49972381425323e-05,0.000546775032757306,1.06925605602368,6.10414528401069e-08,6.52689431177684e-08
101,1,0,7664.63738055039,7664.63736755657,-2.59876360360067e-05,0.000546770729890858,1.06925607430712,3.35702730591125e-08,3.58952183846048e-08
102,1,0,7664.63738022981,7664.63736755657,-2.53464786510449e-05,0.000546775089717156,1.0692560551257,6.0795931974383e-08,6.50064183906191e-08
103,1,0,7664.63737896869,7664.63736755657,-2.28242388402577e-05,0.000546776424798291,1.06925607118779,3.48540439187729e-08,3.72678980655937e-08
104,1,0,7664.63737908458,7664.63736755657,-2.30560181080364e-05,0.000546775555660617,1.06925607168771,3.46623338493676e-08,3.70629109273027e-08
105,1,0,7664.63738172207,7664.63736755657,-2.8331000066828e-05,0.00054677775883148,1.06925605980592,5.55881191208843e-08,5.94379332232191e-08
106,1,0,7664.63738364043,7664.63736755657,-3.21677161991829e-05,0.000546770776255587,1.0692560781878,3.16746090259294e-08,3.38682682251971e-08
107,1,0,7664.63738363618,7664.63736755657,-3.21592196996789e-05,0.00054676648447522,1.06925607825854,3.16652898556698e-08,3.38583036479935e-08
108,1,0,7664.63738215795,7664.63736755657,-2.92027489194879e-05,0.000546766924108475,1.0692560758891,3.26211955387979e-08,3.48804115326259e-08
109,1,0,7664.63737988918,7664.63736755657,-2.46652180067031e-05,0.000546766109908404,1.06925607253581,3.42306224028749e-08,3.66013008709545e-08
110,1,0,7664.63738182981,7664.63736755657,-2.85464757325826e-05,0.000546770280473976,1.06925607538843,3.27881846936233e-08,3.50589656846146e-08
111,1,0,7664.63738347232,7664.63736755657,-3.18315032927785e-05,0.000546769693792478,1.0692560779417,3.17184828536149e-08,3.39151805743173e-08
112,1,0,7664.63738266052,7664.63736755657,-3.02079024550039e-05,0.000546773584513304,1.06925607670229,3.22282692540305e-08,3.44602727414695e-08
113,1,0,7664.6373819612,7664.63736755657,-2.88092523987871e-05,0.000546774334103478,1.06925607574347,3.26639255472942e-08,3.49261008490768e-08
114,1,0,7664.63737916404,7664.63736755657,-2.32149341172772e-05,0.000546782161886854,1.06925607168002,3.4614183652828e-08,3.70114260370337e-08
115,1,0,7664.63738283359,7664.63736755657,-3.05540434055729e-05,0.000546841138373432,1.06925598141218,1.71737865825983e-07,1.83631740269395e-07
116,1,0,7664.63737720825,7664.63736755657,-1.93033465620829e-05,0.000546795808719865,1.06925604367982,7.26265852200267e-08,7.76564151783412e-08
117,1,0,7664.6373793174,7664.63736755657,-2.35216502915137e-05,0.00054677612473038,1.06925605138109,6.47286049906677e-08,6.92114525837278e-08
118,1,0,7664.63737937812,7664.63736755657,-2.36430969380308e-05,0.000546773661717612,1.06925605243997,6.37632042640747e-08,6.81791920823279e-08
119,1,0,7664.63737678587,7664.63736755657,-1.84585878741927e-05,0.000546775813421419,1.06925604118646,7.62939571892246e-08,8.15777746305996e-08
120,1,0,7664.63737931956,7664.63736755657,-2.35259758483153e-05,0.000546774732772929,1.06925605191621,6.37867327177862e-08,6.82043499904546e-08
121,1,0,7664.63737637848,7664.63736755657,-1.76438243215671e-05,0.000546771500680636,1.06925603890284,7.82821195754931e-08,8.37036290942101e-08
122,1,0,7664.637379546,7664.63736755657,-2.39788532780949e-05,0.000546768519489947,1.06925605328829,6.29304352756174e-08,6.72887488545207e-08
123,1,0,7664.63738020832,7664.63736755657,-2.53034995694179e-05,0.000546769860126527,1.06925605614085,6.04152827583652e-08,6.45994069728441e-08
124,1,0,7664.6373761776,7664.63736755657,-1.72420586750377e-05,0.000546771986564596,1.06925604075459,7.78045986567961e-08,8.31930371122655e-08
125,1,0,7664.63737955382,7664.63736755657,-2.39944874920184e-05,0.000546767375156308,1.06925605444816,6.26381366383437e-08,6.69762068399e-08
126,1,0,7664.63738126476,7664.63736755657,-2.74163776339265e-05,0.000546772473396449,1.06925606031555,5.66737411477525e-08,6.05987411829892e-08
127,1,0,7664.63738097437,7664.63736755657,-2.68356052401941e-05,0.000546771023687428,1.06925605888295,5.76805300818707e-08,6.16752562696205e-08
128,1,0,7664.63738231995,7664.63736755657,-2.95267636829522e-05,0.000546788402633977,1.06925598254373,1.74938791889709e-07,1.87054349807043e-07
129,1,0,7664.63738113185,7664.63736755657,-2.71505632554181e-05,0.000546773552565083,1.06925605917417,5.73679636214947e-08,6.13410427047668e-08
130,1,0,7664.63737956854,7664.63736755657,-2.40239278355148e-05,0.000546774977002416,1.06925607333599,3.41728772651063e-08,3.65395565590803e-08
131,1,0,7664.63737740937,7664.63736755657,-1.97055996977724e-05,0.000546775165972187,1.06925606982791,3.59827112296946e-08,3.84747323912157e-08
132,1,0,7664.63738063756,7664.63736755657,-2.61619807133684e-05,0.000546771782463279,1.06925605820407,5.89718954437974e-08,6.30560564670573e-08
133,1,0,7664.50108034172,7664.63736755657,0.272574429709493,0.000526714451417549,1.06793744155654,0.0020049598539414,0.00214117169684176
134,1,0,7664.5482309997,7664.63736755657,0.178273113735486,0.000412176665926291,1.06821586903702,0.00159671544219882,0.00170563677369324
135,1,0,7664.54336731303,7664.63736755657,0.188000487089084,0.000560862121978111,1.06818902666152,0.00167074392642292,0.00178467032856634
136,1,0,7664.63738427397,7664.63736755657,-3.34348060277989e-05,0.000546750584996154,1.06925567806769,6.68024089883598e-07,7.14288551194035e-07
137,1,0,7664.6373811717,7664.63736755657,-2.72302568191662e-05,0.000546763284349465,1.06925543365803,1.05346613740404e-06,1.126424391594e-06
138,1,0,7664.63738043413,7664.63736755657,-2.57551146205515e-05,0.00054677577524355,1.06925597593369,1.9236495116008e-07,2.05687373588107e-07
139,1,0,7664.63737829865,7664.63736755657,-2.14841638808139e-05,0.000546747585629071,1.0692559497966,2.29625683230086e-07,2.45528628019879e-07
140,1,0,7664.63738049697,7664.63736755657,-2.58807904174319e-05,0.000546750524080871,1.06925597728615,1.90666845394192e-07,2.03871664108034e-07
141,1,0,7664.63737608037,7664.63736755657,-1.70475996128516e-05,0.000546756202036789,1.06925604236759,7.82868670519689e-08,8.3708705633346e-08
142,1,0,7664.63737825749,7664.63736755657,-2.14018382393988e-05,0.000546756524608622,1.06925605183191,6.74612469692368e-08,7.21333465859838e-08
143,1,0,7664.63738022,7664.63736755657,-2.53268517553806e-05,0.000546732058654152,1.06925597003195,2.00082448700372e-07,2.13939352771485e-07
144,1,0,7664.63737741087,7664.63736755657,-1.97085937543306e-05,0.000546761972946222,1.06925604855966,7.13037017132573e-08,7.62419143415943e-08
145,1,0,7664.63737749821,7664.63736755657,-1.98832822206896e-05,0.000546766883856401,1.06925607042419,3.60440334453426e-08,3.85403015640049e-08
146,1,0,7664.63737884764,7664.63736755657,-2.25821386266034e-05,0.000546769929239322,1.06925607271243,3.4771277744008e-08,3.71793998837512e-08
147,1,0,7664.63737858823,7664.63736755657,-2.20633246499347e-05,0.000546769037324645,1.06925607264024,3.48999835829072e-08,3.73170193810681e-08
148,1,0,7664.63737989599,7664.63736755657,-2.46788331423886e-05,0.000546767025459744,1.06925607448253,3.38821796694174e-08,3.6228726428233e-08
